id,name,description,n_tracks,href,images,snapshot_id
1dAKocsMZ2g4AqkY9nV906,June 2025,it seems perhaps they will,0,https://api.spotify.com/v1/playlists/1dAKocsMZ2g4AqkY9nV906,,AAAABO9a2o0gvmgiFkcsjCSvfEerYJp5
66MNjc3azuCiTlhQe6zHqq,May 2025,complete unabridged boys night,50,https://api.spotify.com/v1/playlists/66MNjc3azuCiTlhQe6zHqq,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8422452109bb76dc23b7639c58', 'width': None}]",AAAAOq0HobHDBHF80VoXgOVLKhBCExWe
1YHt2tcyv5xR5m2KX0rA9t,April 2025,b.abka,23,https://api.spotify.com/v1/playlists/1YHt2tcyv5xR5m2KX0rA9t,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e6d2f89ccd432e502aa4642e', 'width': None}]",AAAAH8DWI2H7jRk8InDsNHjLS9YNsySv
393eD1ePHqyMRaEREcBow8,March 2025,unintentional,57,https://api.spotify.com/v1/playlists/393eD1ePHqyMRaEREcBow8,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8451432e19aa96fe70f59aa040', 'width': None}]",AAAAPL7d377RlSsMMCzLFNmT4wuTJ86z
1Vc3qFg0aLYW74jKls7KJr,February 2025,needlessly impressive,81,https://api.spotify.com/v1/playlists/1Vc3qFg0aLYW74jKls7KJr,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847f25ada080b0ab937a1c1f15', 'width': None}]",AAAAWDjRI+qO1uUHINQWiH1kLCnzhxNm
6EzPT7miKeG0XXFDwxty5m,January 2025,the love of the game,45,https://api.spotify.com/v1/playlists/6EzPT7miKeG0XXFDwxty5m,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842d94d8fe77ea755e2e3a9b88', 'width': None}]",AAAANu2bsZTtD6ToqLwAfKfwAsa8MlyG
4vLwsLC5UF03wTIZIVHQYN,12-24,,74,https://api.spotify.com/v1/playlists/4vLwsLC5UF03wTIZIVHQYN,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b7e2b243c175301cd110eb78', 'width': None}]",AAAAUNG0DnIY3qAOxzYA6JhjlNqIfqll
2AWZiaQI0FCIRVYhLULttM,11-24,lifting fingers,51,https://api.spotify.com/v1/playlists/2AWZiaQI0FCIRVYhLULttM,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da844f914bfedd0554b1ec3c555e', 'width': None}]",AAAAOwzzKBZ7VOG/nCM0dMLUVynlc6Zy
1yELTkAbOLORezwZZUUMVp,10-24,,22,https://api.spotify.com/v1/playlists/1yELTkAbOLORezwZZUUMVp,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da844d12f7baf109e2066e700f09', 'width': None}]",AAAAGJNKMA30cucb2nhPGxfgtXSk7D4P
7MSqm4bi9QHrMitKaubxk7,09-24,fishes and finance 🫰,28,https://api.spotify.com/v1/playlists/7MSqm4bi9QHrMitKaubxk7,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84339bc59a3ec30ae56a4f707a', 'width': None}]",AAAAI8Uw9rGV59LK+s0VUico5qHs0uRS
